,Keyword_1,frequency,Keyword_2,degreee
139,photonic-integrated,1,silicon plasmonics,3
140,on-chip spectrophotometer,1,plasmonics junctions,3
141,optical crossconnect swicthes,1,on-chip,3
142,photonics integrated,1,silicon-on-sapphire,3
143,multi-project wafers,1,porous silicon,3
144,technology platform,1,analog and,3
145,silicon photonics calculator,1,optical waveguide,3
146,silicon photonics simulation,1,cmos technology,3
147,metal-semiconductor field-effect transistor,1,two photon,3
148,design,1,oadm,3
149,manufacturing,1,microring resonators,3
150,multi-project wafer (mpw),1,polarization splitters,3
151,microelectronics,1,photonics alliance,3
152,sensors,1,standards,3
153,microsystems,1,continuum generation,3
154,mid-ir,1,erbium-doped silicon,3
155,fiber,1,optical device fabrication,2
156,transmission,1,optical fiber communication,2
157,germanium photodetectors,1,platform,2
158,multiplexers,1,integrated-circuit,2
159,mach-zehnder,1,si,2
160,mpw run,1,passive rf circuits,2
161,arbitrary waveform generation,1,low pass filters,2
162,semiconductor nanomembrane (nm),1,radio-over-fiber,2
163,vertical-cavity,1,heterogeneous integration,2
164,optical integration,1,non-volatile memory,2
165,waveguide devices,1,resonance trimming,2
166,absorption spectroscopy,1,microwave signal processing,2
167,fluorescence,1,keywords microwave photonics,2
168,raman,1,photonic integrated,2
169,flip-chip bonding,1,electrooptic modulators,2
170,chirp,1,optical signal processing,2
171,linearized modulator,1,spectroscopy,2
172,l-ramzi modulator,1,optical sensors,2
173,phased array,1,silicon microwave photonics,2
174,four-wave mixing,1,hyper-wideband rf,2
175,fiber optics,1,data obfuscation,2
176,grating,1,optical communications,2
177,phase shifter,1,integrated photonic circuit,2
178,siliconphotonics,1,engineering education,2
179,integration,1,optical interconnection,2
180,nanofabrication,1,optica transceiver,2
181,telecommunication,1,optical chip scale package,2
182,photonics integrated circuit,1,quantum dot lasers,2
183,photodiode,1,optical switch,2
184,and,1,multi-core fiber,2
185,demultiplexers,1,optical transceiver,2
186,high-speed,1,advance modulation formats,2
187,germanium photodetector,1,coherent subsystem,2
188,detectors,1,intensity modulation and,2
189,manufacturing cost,1,integrated silicon photonics,2
190,100 gigabit ethernet,1,photonic networks-on-chip,2
191,iii-v,1,dependability,2
192,hybrid integrated-circuit packaging,1,integrated optics optical communications,2
193,optical routing,1,guided waves,2
194,plasmonics,1,biophotonics,2
195,nanotechnology,1,silicon-oxynitride waveguide,2
196,grating couplers,1,photonic-integrated,2
197,photodetectors,1,optical crossconnect swicthes,2
198,silicon plasmonics,1,photonics integrated,2
199,plasmonics junctions,1,silicon photonics calculator,2
200,on-chip,1,silicon photonics simulation,2
201,surface plasmon polariton,1,germanium photodetectors,2
202,metallic slot waveguides,1,arbitrary waveform generation,2
203,co-directional,1,semiconductor nanomembrane (nm),2
204,silicon-on-sapphire,1,vertical-cavity,2
205,porous silicon,1,flip-chip bonding,2
206,analog and,1,demultiplexers,2
207,special issues and sections,1,high-speed,2
208,optical waveguide,1,germanium photodetector,2
209,cmos technology,1,nanotechnology,2
210,two photon,1,surface plasmon polariton,2
211,silicon-on-insulator (soi),1,metallic slot waveguides,2
212,oadm,1,co-directional,2
213,microring resonators,1,special issues and sections,2
214,polarization splitters,1,silicon-on-insulator (soi),2
215,photonics alliance,1,complementary metal-oxide-semiconductor (cmos),2
216,standards,1,fabrication,2
217,tir switch,1,integrated,2
218,ion implanted,1,quantum optics,1
219,waveguide,1,integrated optics devices,1
220,lightwave circuit,1,optical transceivers,1
221,module,1,heterogeneous silicon platform,1
222,40gb,1,on-chip spectrophotometer,1
223,silicon modulator,1,metal-semiconductor field-effect transistor,1
224,continuum generation,1,design,1
225,erbium-doped silicon,1,fiber,1
226,complementary metal-oxide-semiconductor (cmos),1,transmission,1
227,fabrication,1,hybrid integrated-circuit packaging,1
228,integrated,1,,
