,Keyword_1,frequency,Keyword_2,degreee
141,seawater softening,1,passive vacuum,3
142,forward osmosis power consumption,1,impaired water,3
143,sludge disposal,1,mathematical modeling,3
144,brine management,1,decanting centrifuge,3
145,economic analysis,1,silt,3
146,prospect,1,water quality,3
147,heat-only,1,turbidity,3
148,dedicated,1,inter-basin diversion,3
149,uae,1,water policy,3
150,med-tvc,1,supply cost,3
151,dual-stage nanofiltration (nf),1,seawater intake systems,3
152,static electric field,1,economic effects,3
153,insulation film,1,input-output analysis,3
154,divalent,1,china,3
155,global diffusion,1,operating data,3
156,politics,1,lower cost,3
157,boron rejection,1,integrated process,3
158,membrane fouling,1,performance ratio,3
159,integrated coastal management (icm),1,gain output ratio,3
160,hybridization,1,vapour compression,3
161,literature review,1,reverse osmosis modules,3
162,prevention,1,supersaturation,3
163,control,1,sludge disposal,3
164,calcite,1,brine management,3
165,pellet softening,1,dual-stage nanofiltration (nf),3
166,rsi,1,static electric field,3
167,activity coefficients,1,insulation film,3
168,osmotic coefficients,1,divalent,3
169,tec,1,hybridization,3
170,ro membrane,1,literature review,3
171,biofouling indicator,1,activity coefficients,3
172,biofilm,1,osmotic coefficients,3
173,energy technology,1,tec,3
174,evaluation,1,ro membrane,3
175,carbon capture and sequestration,1,biofouling indicator,3
176,membrane-based oxy-combustion cycles,1,biofilm,3
177,direct contact membrane distillation (dcmd),1,osmotic dilution,3
178,osmotic dilution,1,multi-objective optimization,3
179,thin-film composite membrane,1,water conveyance,3
180,interfacial,1,carbon,3
181,multi-objective optimization,1,wind energy,3
182,water conveyance,1,reverse osmosis desalination,3
183,carbon,1,medium scale,3
184,metallic materials,1,gradual,3
185,stainless steels,1,cchp system,3
186,corrosion,1,boron removal,3
187,wind energy,1,adsorption-membrane filtration,3
188,reverse osmosis desalination,1,natural vacuum,3
189,medium scale,1,fouling mechanism,3
190,gradual,1,brine discharges,3
191,cchp system,1,sea outfall,3
192,by-products,1,operating parameters,3
193,bromate,1,unit costs,3
194,perchlorate,1,hydrostatic pressure,3
195,electrolysis,1,red sea,3
196,boron removal,1,nuclear reactor,3
197,adsorption-membrane filtration,1,fossil fuel,3
198,synthetic membrane processes,1,oil price,3
199,permeate iodide,1,flash vaporization,3
200,evaporation,1,brine discharge,3
201,hypersaline,1,marine environment,3
202,natural vacuum,1,system,3
203,tritium-related safety,1,criteria,3
204,nuclear seawater desalination,1,gulf cooperation council,3
205,estuaries,1,analytical,3
206,sea,1,discussion,3
207,variable salinity,1,bot desalination,3
208,alternative energy,1,privatization,3
209,integration technology,1,seawater desalination plants,3
210,australia,1,infuents,3
211,perth,1,effluents,3
212,review,1,libya,3
213,sydney,1,optimised desalination,3
214,membrane process,1,decentralised water,3
215,wind,1,wastewater reuse,3
216,mf/uf seawater pre-treatment,1,costs,3
217,harbour seawater,1,renewable energies,3
218,hollow-fibre membranes,1,wind power,3
219,process simulation,1,thermal desalination plant,3
220,engineering,1,submarine,3
221,design,1,desalination unit,3
222,fouling mechanism,1,heat pumps,3
223,reverse osmosis membrane,1,power station,3
224,concentrating solar power,1,saudi arabia,3
225,salinity tolerance,1,process,3
226,discharge,1,nuclear energy,3
227,concentrate,1,heating reactor,3
228,adsorption-membrane filtration (amf) hybrid process,1,lt-med,3
229,seawater desalination technologies,1,pool-type reactor,3
230,multi-stage flash distillation,1,brackish water,3
231,brine discharges,1,membrane technology,3
232,sea outfall,1,bio-desalination,2
233,operating parameters,1,scenedesmus abundans,2
234,unit costs,1,total dissolved solids,2
235,growth inducement,1,condenser,2
236,policy analysis,1,reverse osmosis seawater desalination system,2
237,technology development,1,virtual reality,2
238,ann model,1,analogue,2
239,bwro systems,1,pollution control,2
240,boron removal resins,1,sustainable desalination,2
241,high boron rejection membranes,1,freezing desalination,2
242,seawater disalination costs,1,watering parameters,2
243,nuclear desalination costs,1,zero thermal energy input,2
244,seawater reverse osmosis desalination,1,waste-free,2
245,plant design,1,core-shell au@tio2 nanoparticles,2
246,seawater supply,1,seawater evaporation,2
247,humidification-dehumidification,1,small-scale desalination,2
248,desalination of marginal sources,1,energy recovery device,2
249,swro technology,1,vacuum generation,2
250,hydrostatic pressure,1,multiple-effect distillation,2
251,environmental,1,vacuum membrane distillation module,2
252,impact,1,freeze desalination,2
253,red sea,1,lng cold energy,2
254,nuclear reactor,1,graphene oxide membranes,2
255,fossil fuel,1,graphene oxide framework membrane,2
256,oil price,1,covalent,2
257,flash vaporization,1,thermodynamic bound,2
258,brine discharge,1,metal-organic frameworks,2
259,marine environment,1,zeolitic imidazolate framework,2
260,system,1,microbial desalination cell,2
261,criteria,1,wastewater treatment,2
262,gulf cooperation council,1,seawater softening,2
263,analytical,1,forward osmosis power consumption,2
264,discussion,1,global diffusion,2
265,pollutants,1,politics,2
266,south mediterranean,1,energy technology,2
267,oil spill pollution,1,evaluation,2
268,humidification,1,thin-film composite membrane,2
269,humidifier,1,interfacial,2
270,hybrid process,1,synthetic membrane processes,2
271,sewater desalination,1,permeate iodide,2
272,water resources,1,tritium-related safety,2
273,freshwater shortage,1,nuclear seawater desalination,2
274,clean development mechanism (cdm),1,alternative energy,2
275,bot desalination,1,integration technology,2
276,privatization,1,mf/uf seawater pre-treatment,2
277,seawater desalination plants,1,harbour seawater,2
278,infuents,1,hollow-fibre membranes,2
279,effluents,1,concentrating solar power,2
280,libya,1,adsorption-membrane filtration (amf) hybrid process,2
281,optimised desalination,1,growth inducement,2
282,decentralised water,1,policy analysis,2
283,sustainable,1,technology development,2
284,hybrids,1,ann model,2
285,water cost,1,bwro systems,2
286,power,1,boron removal resins,2
287,nuclear heating reactor (nhr),1,high boron rejection membranes,2
288,economic,1,seawater disalination costs,2
289,wastewater reuse,1,nuclear desalination costs,2
290,costs,1,seawater reverse osmosis desalination,2
291,pre-treatment,1,plant design,2
292,lte desalination,1,seawater supply,2
293,waste heat utilization,1,humidification-dehumidification,2
294,nuclear research reactor,1,desalination of marginal sources,2
295,electrodialysis,1,swro technology,2
296,renewable energies,1,pollutants,2
297,wind power,1,south mediterranean,2
298,solar thermal collectors,1,oil spill pollution,2
299,seawater desalination plant,1,humidification,2
300,thermal desalination plant,1,humidifier,2
301,desalination of marginal water,1,hybrid process,2
302,water hammer,1,sewater desalination,2
303,renewable,1,water resources,2
304,cooperation,1,freshwater shortage,2
305,solar parabolic troughs,1,clean development mechanism (cdm),2
306,operation,1,nuclear heating reactor (nhr),2
307,maintenance,1,economic,2
308,development,1,lte desalination,2
309,hollow fiber type reverse osmosis,1,waste heat utilization,2
310,spiral wound,1,nuclear research reactor,2
311,submarine,1,solar thermal collectors,2
312,desalination unit,1,seawater desalination plant,2
313,heat pumps,1,desalination of marginal water,2
314,power station,1,solar parabolic troughs,2
315,iaea,1,hollow fiber type reverse osmosis,2
316,southern europe,1,spiral wound,2
317,saudi arabia,1,iaea,2
318,process,1,southern europe,2
319,nuclear energy,1,integrated systems,2
320,heating reactor,1,integrated coastal management (icm),1
321,lt-med,1,carbon capture and sequestration,1
322,pool-type reactor,1,membrane-based oxy-combustion cycles,1
323,integrated systems,1,direct contact membrane distillation (dcmd),1
324,brackish water,1,seawater desalination technologies,1
325,membrane technology,1,multi-stage flash distillation,1
