,Keyword_1,frequency,Keyword_2,degreee
98,operating systems,1,network media,3
99,system,1,smart contract,3
100,digital content industry,1,component,3
101,digital content providers,1,semantic web,3
102,rights adaptation,1,broadcasting,3
103,privacy policies management,1,peer-to-peer networks,3
104,application,1,information,3
105,drm interoperability,1,digital rights management(drm),3
106,anonimity,1,pkcs#12,3
107,mpeg-21,1,multimedia courseware,3
108,open systems,1,network learning,3
109,broker,1,blind decryption,3
110,simulation management platform,1,hash,3
111,msc.simmanager,1,rootkit,3
112,digital engine,1,operating systems,3
113,digital information,1,system,3
114,copyright protecting,1,mpeg-21,3
115,drim,1,digital information,3
116,live broadcast,1,live broadcast,3
117,privacy protection,1,privacy protection,3
118,drm architectural framework,1,author rights,3
119,drm functional,1,authorized domain,3
120,author rights,1,home network,3
121,authorized domain,1,proxy,3
122,home network,1,right expression language,3
123,proxy,1,right issues,3
124,3g,1,intellectual property law,3
125,fairness,1,tr-edrm,3
126,low,1,tr-rs-bac drm,3
127,digital interface,1,courseware,3
128,digital licensing,1,remote education,3
129,threshold based,1,portable,3
130,rights model,1,virtual software token,3
131,rights decomposition,1,information systems,3
132,fuzzy risk assessment,1,content management systems,3
133,role-based access control,1,cms,3
134,context,1,web content,3
135,design for test (dft),1,administration,3
136,digital library,1,e-government,3
137,mobile digital rights systems,1,licence language,3
138,oma-rights expression language,1,mpeg-21 ipmp,3
139,cafeobj,1,mpeg rel,3
140,right expression language,1,implementation,3
141,digital rights conversion,1,structure,3
142,librarians,1,drm client,3
143,copyright law,1,mms,3
144,bit-torrent,1,home networking,3
145,rights issues,1,push to view,3
146,intellectual property management,1,wdrm,3
147,zero-watermark,1,self-determination of charge,3
148,singular value decomposition (svd),1,anonymous,3
149,digital libraries,1,management encryption,3
150,digital rights management systems,1,digital watermarks,3
151,digital signature,1,digital audiovisual content,3
152,tr-edrm,1,eple,3
153,tr-rs-bac drm,1,mpeg 21,3
154,d-cinema,1,post-quantum ctyptography,2
155,application model,1,multivariate,2
156,courseware,1,peer-to-peer streaming,2
157,remote education,1,privacy-preserving,2
158,triz,1,authentication,2
159,tips,1,content delivery,2
160,innovation,1,drm(digital rights management),2
161,event driven drm,1,information dispersal algorithm,2
162,portable,1,secure,2
163,virtual software token,1,video encryption,2
164,libraries,1,information consumption,2
165,ipmp,1,live streaming,2
166,mpeg,1,network digital video,2
167,interoperability,1,digital content industry,2
168,information systems,1,digital content providers,2
169,content management systems,1,rights adaptation,2
170,cms,1,privacy policies management,2
171,web content,1,application,2
172,copy protection,1,drm interoperability,2
173,acss,1,anonimity,2
174,entertainment,1,simulation management platform,2
175,administration,1,msc.simmanager,2
176,e-government,1,digital engine,2
177,licence language,1,copyright protecting,2
178,intellectual property rights,1,drim,2
179,mpeg-21 ipmp,1,drm architectural framework,2
180,mpeg rel,1,drm functional,2
181,implementation,1,digital interface,2
182,electronic media,1,digital licensing,2
183,newspapers,1,threshold based,2
184,archives management,1,rights model,2
185,public key,1,rights decomposition,2
186,integrated information system,1,fuzzy risk assessment,2
187,structure,1,role-based access control,2
188,content encryption,1,context,2
189,digital rights management system (drm),1,design for test (dft),2
190,drm client,1,digital library,2
191,mms,1,mobile digital rights systems,2
192,home networking,1,oma-rights expression language,2
193,push to view,1,cafeobj,2
194,digital rights management and mobile network,1,digital rights conversion,2
195,authorization,1,librarians,2
196,trust,1,copyright law,2
197,key management,1,rights issues,2
198,technical protection,1,intellectual property management,2
199,wdrm,1,zero-watermark,2
200,self-determination of charge,1,singular value decomposition (svd),2
201,anonymous,1,digital libraries,2
202,content portability,1,digital rights management systems,2
203,license transfer,1,digital signature,2
204,license management protocol,1,intellectual property rights,2
205,management encryption,1,electronic media,2
206,digital watermarks,1,newspapers,2
207,learning objects,1,archives management,2
208,open digital rights,1,public key,2
209,digital media distribution,1,integrated information system,2
210,standards,1,key management,2
211,digital audiovisual content,1,technical protection,2
212,eple,1,content portability,2
213,psychoacoustic audio watermarking,1,license transfer,2
214,assets management,1,license management protocol,2
215,electronic document delivery,1,learning objects,2
216,internet open trading,1,open digital rights,2
217,copyright protection system,1,digital media distribution,2
218,mpeg 21,1,standards,2
219,digital cinema,1,internet open trading,2
220,digital rights language,1,copyright protection system,2
221,odrl,1,superdistribution,2
222,cdrl,1,libraries,1
223,superdistribution,1,digital rights management system (drm),1
224,metadata,1,digital rights management and mobile network,1
225,watermark,1,psychoacoustic audio watermarking,1
226,image bank,1,assets management,1
227,image format,1,electronic document delivery,1
