,Keyword_1,frequency,Keyword_2,degreee
129,ti-based alloys,1,nano-optics,3
130,mechanical properties,1,spectroscopy,3
131,corrosion,1,nio,3
132,amphiphile nanofibers,1,nano-sheets,3
133,hydrogen-peroxide,1,homogeneous precipitation,3
134,biomedical,1,cmol,3
135,variation tolerant,1,memristive,3
136,defect tolerant,1,neuromorphic networks,3
137,nano-electronics,1,stdp learning,3
138,crossbar,1,grid structures,3
139,nuclear architecture,1,deltahedra,3
140,nanoscale,1,fullerenes,3
141,esophagus,1,biological architectures,3
142,field effect,1,dna,3
143,barretts-esophagus,1,polyassembly,3
144,structural color,1,self-organization,3
145,surface enhanced raman scattering,1,atomic force microscope,3
146,plasmonics,1,catalysis challenge,3
147,nano-optics,1,renewable,3
148,spectroscopy,1,catalyst nano-architecture,3
149,zinc oxide nano-architectures,1,nanoreactor,3
150,microwave heating,1,atomic force microscopy,3
151,chemical precursors,1,crystallization,3
152,electrochemical capacitance,1,nanostructure,3
153,redox supercapacitors,1,x-ray,3
154,cmos-nano hybrid circuit,1,self-assembly,3
155,field-programmable gate array (fpga),1,air/water interface,3
156,pd nanostructure,1,peg-attached peptide,3
157,oxygen reduction,1,beta-sheet,3
158,templated deposition,1,lipid bilayer,3
159,highly aromatic graphene,1,self-spreading,3
160,electronic properties,1,molecular manipulation,3
161,electrochemical,1,amphiphile,3
162,laser nanofabrication,1,bolaamphiphile,3
163,laser ablation,1,langmuir-blodgett films,3
164,semiconductor and plasmonic,1,topography,2
165,cu2o/cu,1,intracortical microelectrodes,2
166,heterostructure,1,silicon/germanium nanomembranes,2
167,nanoflower,1,strain engineering,2
168,photodegradation,1,mechanical,2
169,nio,1,microporous materials,2
170,nano-sheets,1,carbonate precursors,2
171,homogeneous precipitation,1,cathode materials,2
172,biomaterial,1,hollow structures,2
173,polymers,1,micelles,2
174,silk fibroin,1,lotus-like nano-architectures,2
175,antheraea assama,1,hierarchical assembly,2
176,micro-nano,1,v6o13 nano-architectures,2
177,cmol,1,counter electrode,2
178,memristive,1,super-paramagnetism,2
179,neuromorphic networks,1,tunable removal efficiency,2
180,stdp learning,1,convenient magnetic,2
181,emerging nanotechnologies,1,ca2+ channels,2
182,crossbar array,1,quantitative immunoelectron microscopy,2
183,logic mapping,1,cluster analysis,2
184,performance optimization,1,palladium nanowires,2
185,online routing,1,hydrogen detection,2
186,grid structures,1,storage,2
187,deltahedra,1,nanocrystalline materials,2
188,fullerenes,1,semiconductors,2
189,biological architectures,1,optical materials and,2
190,dna,1,consecutive systems,2
191,polyassembly,1,bounds,2
192,self-organization,1,tungsten trioxide,2
193,atomic force microscope,1,nano-architecture array,2
194,nanoelectronics,1,electrochromism,2
195,nano addressing,1,lower and upper bounds,2
196,catalysis challenge,1,amphiphile nanofibers,2
197,renewable,1,hydrogen-peroxide,2
198,catalyst nano-architecture,1,biomedical,2
199,nanoreactor,1,zinc oxide nano-architectures,2
200,vanadium bronze,1,microwave heating,2
201,bi-cation,1,chemical precursors,2
202,template-free,1,electrochemical capacitance,2
203,positive,1,redox supercapacitors,2
204,atomic force microscopy,1,pd nanostructure,2
205,crystallization,1,oxygen reduction,2
206,nanostructure,1,templated deposition,2
207,x-ray,1,highly aromatic graphene,2
208,self-assembly,1,electronic properties,2
209,air/water interface,1,electrochemical,2
210,peg-attached peptide,1,laser nanofabrication,2
211,beta-sheet,1,laser ablation,2
212,lipid bilayer,1,semiconductor and plasmonic,2
213,self-spreading,1,emerging nanotechnologies,2
214,molecular manipulation,1,crossbar array,2
215,nanufacturing,1,logic mapping,2
216,amphiphile,1,performance optimization,2
217,bolaamphiphile,1,online routing,2
218,langmuir-blodgett films,1,nanoelectronics,2
219,supramolecular chemistry,1,nano addressing,2
220,iron complexes of n ligands,1,nanufacturing,2
221,magnetic,1,supramolecular chemistry,2
222,gibbs distribution,1,iron complexes of n ligands,2
223,tmr,1,magnetic,2
224,ctmr,1,computer architectures,2
225,entropy,1,semiconductor devices,2
226,computer architectures,1,anionic living polymerization,2
227,semiconductor devices,1,block copolymer,2
228,manganese oxides,1,photo-electronic,2
229,cryogel,1,arrays,1
230,intercalation,1,perineuronal nets,1
231,lithium,1,high-energy,1
232,mn(ii) precursors,1,facile,1
233,area,1,multishell tubular structures,1
234,batteries,1,rolled-up micro- and nano-architectures,1
235,cathode,1,barretts-esophagus,1
236,anionic living polymerization,1,structural color,1
237,block copolymer,1,cmos-nano hybrid circuit,1
238,photo-electronic,1,field-programmable gate array (fpga),1
